time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,shipping_mem,user_mem,user-db_mem,carts_lod,catalogue_lod,shipping_lod,carts_lat_50,catalogue_lat_50,shipping_lat_50,carts_lat_90,catalogue_lat_90,shipping_lat_90,carts_lat_99,catalogue_lat_99,shipping_lat_99
1652821950,1.8487098816996665,69.01624789825094,0.9267229307378937,0.14326384081135635,11.18383281595023,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.3535100053438762,1.4413770079229913,332800000,194355200,10334208,431575040,110268416,328560640,159322112,225062912,267083776,95076352,305631232,14635008,209575936,8.700000000000001,18.033333333333335,1.1333333333333333,0.23500000000000004,0.02668604651162791,0.0025,0.8511363636363641,0.061357142857142874,0.0045000000000000005,2.198846153846156,0.0961357142857143,0.0049499999999999995
1652821951,1.9402912185957915,69.01624789825094,0.9595081333890141,0.14326384081135635,11.525063412928118,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.3151490149278493,1.4413770079229913,333045760,194355200,10334208,431575040,110268416,328560640,159322112,225062912,267083776,95076352,305631232,14635008,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821952,1.9949846702802747,69.01624789825094,0.9922933360401345,0.14326384081135635,11.866294009906005,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.6890405744854577,1.4413770079229913,333045760,194355200,10334208,431575040,110268416,328560640,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821953,2.461205325801727,69.01624789825094,1.0250785386912546,0.14326384081135635,12.363595699509732,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.6890405744854577,1.2964509144385765,333045760,194355200,10334208,431575040,111243264,328560640,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821954,2.461205325801727,69.01624789825094,1.0578637413423753,0.14326384081135635,15.352358792972806,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.6890405744854577,1.2964509144385765,333045760,194355200,10334208,431575040,111243264,328560640,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821955,2.461205325801727,69.01624789825094,1.0906489439934954,0.14326384081135635,15.352358792972806,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3157466893200923,1.6890405744854577,1.2964509144385765,333045760,194355200,10465280,431575040,111243264,328560640,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821956,2.461205325801727,69.01624789825094,1.475334119300416,0.14326384081135635,15.352358792972806,0.9236064442263537,0.46886546109129007,99.976518018797,0.24271334260176974,0.7598298516187826,0.3600241450985427,1.6890405744854577,1.2964509144385765,333045760,194355200,10465280,431575040,111243264,328560640,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821957,2.461205325801727,69.01624789825094,1.475334119300416,0.14326384081135635,15.352358792972806,0.8478323595291046,0.46886546109129007,99.9756341985484,0.24271334260176974,0.7598298516187826,0.3600241450985427,1.6890405744854577,1.2964509144385765,333045760,194355200,10465280,431575040,111243264,328773632,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821958,2.461205325801727,69.01624789825094,1.475334119300416,0.14326384081135635,15.352358792972806,0.8478323595291046,0.46886546109129007,99.9756341985484,0.24271334260176974,0.8039989420571516,0.3600241450985427,1.6890405744854577,1.2964509144385765,333045760,194355200,10465280,431575040,111243264,328773632,159322112,225062912,267083776,95076352,305631232,14503936,209575936,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
1652821959,2.461205325801727,69.01624789825094,1.475334119300416,0.14326384081135635,15.352358792972806,0.8478323595291046,0.46886546109129007,99.9756341985484,0.18523844898401,0.8039989420571516,0.28069882512849714,1.6890405744854577,1.2491334249814998,333045760,194355200,10465280,431575040,111243264,328773632,159322112,225062912,267083776,95076352,305631232,14503936,209494016,9.2,18.033333333333335,1.1333333333333333,0.3,0.02668604651162791,0.0025,1.4902439024390235,0.061357142857142874,0.0045000000000000005,2.399024390243902,0.0961357142857143,0.0049499999999999995
